mosque_name,decade,what_happend
Batal Mosque,1580,Established
Batal Mosque,1870,Demolished
Batal Mosque,1680,Damaged
Batal Mosque,1760,Renovated
Batal Mosque,1780,Damaged
Batal Mosque,1830,Renovated
Batal Mosque,1860,Abandoned
Sinjirli Mosque,1540,Established
Sinjirli Mosque,1870,Demolished
Sinjirli Mosque,1680,Damaged
Sinjirli Mosque,1720,Changed function
Sinjirli Mosque,1730,Changed function
Sinjirli Mosque,1741,Renovated
Shehitluk Mosque,1570,Established
Shehitluk Mosque,1720,Changed function
Shehitluk Mosque,1740,Renovated
Shehitluk Mosque,1830,Abandoned
Shehitluk Mosque,1870,Demolished
Hasan Pasha's Mosque,1740,Established
Hasan Pasha's Mosque,1800,Damaged
Hasan Pasha's Mosque,1820,Renovated
Hasan Pasha's Mosque,1860,Abandoned
Hasan Pasha's Mosque,1900,Changed function
Hasan Pasha's Mosque,1940,Demolished
Kara Mosque,1550,Established
Kara Mosque,1710,Changed function
Kara Mosque,1730,Renovated
Kara Mosque,1860,Changed function
Kara Mosque,1890,Abandoned
Kara Mosque,1900,Demolished
Turbe Mosque,1600,Established
Turbe Mosque,1710,Changed function
Turbe Mosque,1740,Renovated
Turbe Mosque,1860,Changed function
Turbe Mosque,1870,Demolished
Sultan Mustafa Mosque,1560,Established
Sultan Mustafa Mosque,1680,Damaged
Sultan Mustafa Mosque,1690,Renovated
Sultan Mustafa Mosque,1710,Changed function
Sultan Mustafa Mosque,1730,Renovated
Sultan Mustafa Mosque,1870,Demolished
Kizlar-aga Mosque,1590,Established
Kizlar-aga Mosque,1680,Damaged
Kizlar-aga Mosque,1710,Changed function
Kizlar-aga Mosque,1740,Renovated
Kizlar-aga Mosque,1790,Changed function
Kizlar-aga Mosque,1870,Demolished
Sultan Mahmud Mosque,1730,Established
Sultan Mahmud Mosque,1740,Renovated
Sultan Mahmud Mosque,1760,Changed function
Sultan Mahmud Mosque,1870,Damaged
Sultan Mahmud Mosque,1890,Demolished
Defterdar Mosque,1600,Established
Defterdar Mosque,1710,Changed function
Defterdar Mosque,1730,Renovated
Defterdar Mosque,1860,Damaged
Defterdar Mosque,1870,Demolished
Laz Oglija Mosque,1550,Established
Laz Hadži-Mahmud Mosque,1720,Changed function
Laz Hadži-Mahmud Mosque,1790,Renovated
Laz Hadži-Mahmud Mosque,1860,Demolished
Suleiman Mosque,1550,Established
Suleiman Mosque,1690,Damaged
Suleiman Mosque,1720,Changed function
Suleiman Mosque,1730,Demolished
Imperial Mosque,1560,Established
Imperial Mosque,1700,Damaged
Imperial Mosque,1850,Demolished
Ahmed Agha Mosque,1530,Established
Ahmed Agha Mosque,1710,Changed function
Ahmed Agha Mosque,1740,Renovated
Ahmed Agha Mosque,1870,Demolished
Ferhad Pasha Mosquе,1520,Established
Ferhad Pasha Mosquе,1560,Changed function
Ferhad Pasha Mosquе,1710,Demolished
Fakir Hadži-Alija Mosque,1650,Established
Fakir Hadži-Alija Mosque,1710,Changed function
Fakir Hadži-Alija Mosque,1740,Renovated
Fakir Hadži-Alija Mosque,1830,Damaged
Fakir Hadži-Alija Mosque,1860,Demolished
Zemun Mosque,1570,Established
Zemun Mosque,1710,Changed function
Zemun Mosque,1760,Demolished
